value_salary,year,region
26286.0,2020,Ульяновская область
33422.0,2020,Уральский федеральный округ
24557.0,2020,Курганская область
33862.0,2020,Свердловская область
39752.0,2020,Ханты-Мансийский автономный округ - Югра
46049.0,2020,Ямало-Ненецкий автономный округ
31144.0,2020,Тюменская область
31001.0,2020,Челябинская область
29730.0,2020,Сибирский федеральный округ
27522.0,2020,Республика Алтай
22582.0,2020,Республика Тыва
29109.0,2020,Республика Хакасия
21762.0,2020,Алтайский край
33891.0,2020,Красноярский край
27128.0,2020,Иркутская область
34485.0,2020,Кемеровская область - Кузбасс
32124.0,2020,Новосибирская область
28415.0,2020,Омская область
26607.0,2020,Томская область
32735.0,2020,Дальневосточный федеральный округ
25112.0,2020,Республика Бурятия
26490.0,2020,Республика Саха (Якутия)
46989.0,2020,Забайкальский край
44416.0,2020,Камчатский край
29737.0,2020,Приморский край
31341.0,2020,Хабаровский край
26448.0,2020,Амурская область
59037.0,2020,Магаданская область
49132.0,2020,Сахалинская область
23139.0,2020,Еврейская автономная область
76998.0,2020,Чукотский автономный округ
51822.0,2020,Российская Федерация
59493.0,2020,Центральный федеральный округ
35121.0,2020,Белгородская область
36408.0,2020,Брянская область
37170.0,2020,Владимирская область
33725.0,2020,Воронежская область
27466.0,2020,Ивановская область
35379.0,2020,Калужская область
32121.0,2020,Костромская область
37307.0,2020,Курская область
31787.0,2020,Липецкая область
70172.0,2020,Московская область
33739.0,2020,Орловская область
36409.0,2020,Рязанская область
29346.0,2020,Смоленская область
34541.0,2020,Тамбовская область
38238.0,2020,Тверская область
36945.0,2020,Тульская область
40434.0,2020,Ярославская область
77255.0,2020,Город Москва
56199.0,2020,Северо-Западный федеральный округ
52693.0,2020,Республика Карелия
71062.0,2020,Республика Коми
76623.0,2020,Ненецкий автономный округ
57594.0,2020,Архангельская область
42352.0,2020,Вологодская область
37898.0,2020,Калининградская область
46270.0,2020,Ленинградская область
68363.0,2020,Мурманская область
34561.0,2020,Новгородская область
31713.0,2020,Псковская область
62314.0,2020,Санкт-Петербург
41136.0,2020,Южный федеральный округ
28553.0,2020,Республика Адыгея
40467.0,2020,Республика Калмыкия
36509.0,2020,Республика Крым
47655.0,2020,Краснодарский край
47604.0,2020,Астраханская область
33944.0,2020,Волгоградская область
36838.0,2020,Ростовская область
30684.0,2020,Севастополь
45289.0,2020,Северо-Кавказский федеральный округ
32341.0,2020,Республика Дагестан
21322.0,2020,Республика Ингушетия
22025.0,2020,Кабардино-Балкарская Республика
22274.0,2020,Карачаево-Черкесская Республика
27785.0,2020,Республика Северная Осетия — Алания
35314.0,2020,Чеченская Республика
64158.0,2020,Ставропольский край
36638.0,2020,Приволжский федеральный округ
40710.0,2020,Республика Башкортостан
28266.0,2020,Республика Марий Эл
28691.0,2020,Республика Мордовия
35506.0,2020,Республика Татарстан
34866.0,2020,Удмуртская Республика
27969.0,2020,Чувашская Республика
38415.0,2020,Пермский край
35261.0,2020,Кировская область
36923.0,2020,Нижегородская область
39470.0,2020,Оренбургская область
34821.0,2020,Пензенская область
37854.0,2020,Самарская область
36007.0,2020,Саратовская область
33575.0,2020,Ульяновская область
57794.0,2020,Уральский федеральный округ
37463.0,2020,Курганская область
45876.0,2020,Свердловская область
72463.0,2020,Ханты-Мансийский автономный округ - Югра
107810.0,2020,Ямало-Ненецкий автономный округ
52205.0,2020,Тюменская область
36244.0,2020,Челябинская область
47045.0,2020,Сибирский федеральный округ
33391.0,2020,Республика Алтай
35325.0,2020,Республика Тыва
50106.0,2020,Республика Хакасия
31055.0,2020,Алтайский край
56965.0,2020,Красноярский край
56089.0,2020,Иркутская область
44034.0,2020,Кемеровская область - Кузбасс
41688.0,2020,Новосибирская область
38654.0,2020,Омская область
50257.0,2020,Томская область
68590.0,2020,Дальневосточный федеральный округ
58016.0,2020,Республика Бурятия
66297.0,2020,Республика Саха (Якутия)
79973.0,2020,Забайкальский край
86464.0,2020,Камчатский край
60873.0,2020,Приморский край
64490.0,2020,Хабаровский край
64946.0,2020,Амурская область
94360.0,2020,Магаданская область
